gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No
1,0,1,1,-0.6283446565089229,1,1,0.9224818640270374,-0.3389204051839629,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
0,0,1,0,0.6754621043330061,1,1,-1.487450280266981,-0.6001033845233461,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,-1.0357842692720256,1,0,-1.477478147256109,-0.9409207013133352,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
1,1,0,0,0.8791819107145575,1,1,0.8393807556031058,1.1684848068242644,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1,0,0,0,1.5310852911355222,1,1,1.3030849406086444,2.1913117665395667,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False
0,0,1,0,1.5718292524118322,1,0,1.025527238472713,2.017836855262125,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
1,1,0,0,0.1050466464646622,1,0,0.8709591768041999,0.3958331991940924,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
1,0,1,0,0.8791819107145575,1,1,1.3130570736195162,1.3212900853617564,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
0,0,1,1,-0.4246248501273714,1,0,-1.46418196990828,-0.8077923837193167,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,1,-0.22090504374582,1,1,0.526920587929123,-0.0324495325520329,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
1,0,0,0,-1.2802480369298874,0,0,-1.1666800017506045,-0.9942602658439624,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,1,0,-0.9135523854430948,1,1,0.1762339103801309,-0.7163342222040225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,0,-0.8320644628904743,1,0,0.4421574573367123,-0.5894266478679187,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0,-0.5468567339563023,1,1,-0.325696784500416,-0.5456608513299679,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1,1,1,0,1.6125732136881423,0,1,-0.0115745946579542,1.0402316107196046,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
1,0,0,0,0.2680224915699033,1,1,1.382862004695619,0.7753205973001236,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
1,0,1,0,1.4088534073065913,1,1,1.2000395661629697,1.9632178470827064,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False
0,0,1,0,-0.3431369275747509,1,0,0.0499202255757549,-0.3193537411067641,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,1,0,-1.1987601143772668,1,1,0.1828819990540456,-0.915221531471242,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0,1,1,1.6125732136881423,1,0,-1.3528264846202114,-0.2420576972211899,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True
0,0,1,0,-0.5468567339563023,1,1,0.8078023344020117,-0.2922868901228602,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
0,0,1,0,1.5310852911355222,1,0,-1.495760391109374,-0.3907378729599942,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
1,0,0,0,-0.2616490050221303,1,1,0.9174957975216018,0.0293387719352654,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
1,0,0,1,-1.076528230548336,1,0,-1.2780354870386728,-0.9261629806057295,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
0,0,0,0,1.5718292524118322,1,0,0.4172271248095328,1.4412710164957858,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False
1,0,0,0,-0.7098325790615434,1,1,-0.525139444717852,-0.6768038253310349,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,0,1,0,1.6125732136881423,1,1,1.3296772953043026,2.28835094948838,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
1,0,0,0,0.8791819107145575,0,0,-0.6514531295222281,0.0782002836951247,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False
0,0,1,1,0.1050466464646622,1,1,-1.3096139082397669,-0.5883236792051678,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True
1,0,0,0,0.1050466464646622,1,1,-1.4824642137615447,-0.7054148324427899,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True
1,0,0,0,0.1050466464646622,1,1,-1.3029658195658524,-0.6097433306357878,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True
1,0,1,1,-1.1987601143772668,1,1,-0.2874702746254075,-0.9331778613008246,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,1,1.6125732136881423,1,1,1.4859073791412942,2.4581198860589786,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
0,0,1,0,-1.1987601143772668,1,1,0.3673664597551738,-0.8941548300127024,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0,0,0,-0.9135523854430948,1,1,-0.2675260086036639,-0.785335941745711,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,1,1,0.6754621043330061,0,1,-0.4320662032830487,0.1138041121287196,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False
0,0,1,1,1.4088534073065913,1,1,-1.5140426349626388,-0.4016572627212268,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
1,0,0,0,1.1643896396487294,1,1,1.5557123102173966,2.026263535845541,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
1,0,1,1,0.5939741817803856,1,0,0.7446454919998238,0.7650850481097964,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
0,0,1,1,1.5718292524118322,1,0,-1.3328822185984677,-0.2085715686200764,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
0,0,0,0,-1.2395040756535771,1,0,0.5302446322660801,-0.9370161922471976,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1,0,0,0,-0.0579291986405789,1,1,0.2078123315812251,-0.0508029311002057,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
0,0,0,0,-0.8320644628904743,0,0,-0.1378882794623305,-0.6794288907483818,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False
0,0,1,0,1.1643896396487294,1,0,-1.3428543516093396,-0.3818038267917129,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True
1,0,1,1,-0.0986731599168891,1,1,-0.3439790283536809,-0.3064490077525801,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,1,-0.7098325790615434,1,0,-1.487450280266981,-0.8819339372294237,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
1,1,0,0,-0.9950403079957154,1,1,0.3224918612062509,-0.739761276600849,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,1,0,0,-0.1394171211931994,1,1,1.2183218100162343,0.2935218260373306,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
1,1,1,0,0.8384379494382472,1,1,-0.1578325454840742,0.4175175631037727,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
1,0,0,0,-0.22090504374582,1,0,-0.3107385849841083,-0.3554428757519694,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,1,1,-0.8728084241667845,1,1,0.0515822477442334,-0.6805318594111325,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,1,1,1,1.1643896396487294,1,1,0.0133557378692252,0.7419668249385403,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
0,1,0,0,-0.2616490050221303,1,1,0.0416101147333617,-0.2783453662256903,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,0,1,1,1.6125732136881423,1,0,1.4177644702336702,2.3353815332680727,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
0,0,0,0,-0.791320501614164,1,1,0.5684711421410888,-0.5534257507157333,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
0,0,1,0,-0.9542963467194052,1,0,0.8194364895813623,-0.6309865070803677,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
1,0,0,0,-0.5468567339563023,1,1,1.1684611449618754,-0.1550996478499189,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
1,1,1,0,-0.9542963467194052,1,0,-1.494098368940895,-0.92656004932432,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,1,0,0,-0.3431369275747509,1,0,-0.3323448731743307,-0.4376581598734121,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,0,1,-0.2616490050221303,1,1,-0.5085192230330657,-0.448974618353235,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,1,0,1.4088534073065913,1,1,1.5374300663641316,2.2225919578151787,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0,0,0,0,-0.5468567339563023,1,1,1.0089070167879266,-0.217968861626713,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1,0,1,1,-0.506112772679992,0,1,-0.8442477010657496,-0.6432073998636463,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
0,0,1,0,-0.2616490050221303,0,0,-0.5633659545928605,-0.4821298563555233,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
0,0,0,0,1.368109446030281,1,1,-0.1212680577775442,0.7650850481097964,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,1,0,0,-0.0986731599168891,1,1,1.3064089849456015,0.369626663767134,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
0,0,0,0,-1.2802480369298874,1,1,-0.6614252625331,-0.9875542163744376,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,1,-1.2802480369298874,1,0,-1.4974224132778524,-0.9986500811217106,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
0,1,0,0,0.512486259227765,1,1,1.241590120374935,1.0818135293053088,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False
1,0,1,0,0.6754621043330061,1,1,0.997272861608576,1.0620924496153246,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False
0,0,0,0,-1.2802480369298874,1,0,-1.4924363467724169,-0.9985839030019455,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
1,1,1,0,1.0014137945434884,1,1,0.8327326669291911,1.1656391476743675,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
0,0,0,0,1.2866215234776603,1,1,1.672053862010901,2.228327394861483,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,0,0,-0.8320644628904743,0,1,-1.037042272609271,-0.8152484518795119,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
0,0,0,0,0.3087664528462136,1,0,-1.4841262359300234,-0.6522738022714577,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True
1,0,1,0,-0.9950403079957154,1,0,-1.4808021915930665,-0.9375014984588076,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
0,0,1,1,-0.791320501614164,1,0,-0.3539511613645528,-0.6980690611488698,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0,1.2866215234776603,0,0,-0.5633659545928605,0.3812740128457822,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
0,0,1,1,1.490341329859212,1,1,1.4609770466141143,2.298476201812432,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False
0,0,1,0,0.0235587239120416,1,0,-1.487450280266981,-0.7120105850460395,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
